variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT011,medium,Quantos pacientes têm vínculo previdenciário informado?,"SELECT COUNT(*) AS total_vincprev FROM internacoes WHERE ""VINCPREV"" IS NOT NULL AND ""VINCPREV"" != 0;","SELECT COUNT(*) FROM internacoes WHERE ""VINCPREV"" IS NOT NULL AND ""VINCPREV"" != 0;",True,7.81,,ablation_20260509T011519_9624afdc_V0_GT011,results,1,1,[[7473]],[[7473]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13557,319,13876,0.001534
V0,full_pipeline,GT012,medium,Quantos pacientes têm nível de instrução informado?,"SELECT COUNT(*) AS total_instrucao FROM internacoes WHERE ""INSTRU"" IS NOT NULL AND ""INSTRU"" != 0;","SELECT COUNT(*) FROM internacoes WHERE ""INSTRU"" IS NOT NULL AND ""INSTRU"" != 0;",True,6.83,,ablation_20260509T011519_9624afdc_V0_GT012,results,1,1,[[103553]],[[103553]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13601,275,13876,0.001821
V0,full_pipeline,GT013,easy,Quantos pacientes do sexo masculino foram internados?,"SELECT COUNT(*) AS homens FROM internacoes WHERE ""SEXO"" = 1;","SELECT COUNT(*) AS total FROM internacoes WHERE ""SEXO"" = 1;",True,6.92,,ablation_20260509T011519_9624afdc_V0_GT013,results,1,1,[[7683323]],[[7683323]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12379,293,12672,0.001255
V0,full_pipeline,GT014,medium,Quantas internações por meningite ocasionaram em morte?,"SELECT COUNT(*) FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE c.""CD_DESCRICAO"" ILIKE '%meningite%' AND i.""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND c.""CD_DESCRICAO"" ILIKE '%meningite%';",True,11.11,,ablation_20260509T011519_9624afdc_V0_GT014,results,1,1,[[226]],[[226]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},14256,396,14652,0.001445
V0,full_pipeline,GT015,easy,Qual a descrição do código CID A15?,"SELECT ""CD_DESCRICAO"" FROM cid WHERE ""CID"" = 'A15';","SELECT ""CD_DESCRICAO"" FROM cid WHERE ""CID"" = 'A15';",True,6.32,,ablation_20260509T011519_9624afdc_V0_GT015,results,1,1,"[[""Tuberc respirat c/conf bacteriol e histolog""]]","[[""Tuberc respirat c/conf bacteriol e histolog""]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},8413,311,8724,0.001065
V0,full_pipeline,GT017,easy,Qual o tempo médio de permanência hospitalar?,"SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;","SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;",True,7.84,,ablation_20260509T011519_9624afdc_V0_GT017,results,1,1,[[5.345298270072402]],[[5.345298270072402]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12346,279,12625,0.001635
V0,full_pipeline,GT018,medium,Quantos habitantes tem o município que tem a maior população segundo dados do IBGE?,"SELECT mu.nome AS municipio_maior_populacao, s.valor AS total_habitantes FROM socioeconomico s JOIN municipios mu ON s.codigo_6d = mu.codigo_6d WHERE s.metrica = 'populacao_total' ORDER BY s.valor DESC LIMIT 1;","SELECT mu.""nome"", s.""valor"" AS populacao_total FROM socioeconomico s JOIN municipios mu ON s.""codigo_6d"" = mu.""codigo_6d"" WHERE s.""metrica"" = 'populacao_total' ORDER BY s.""valor"" DESC LIMIT 1;",False,12.26,,ablation_20260509T011519_9624afdc_V0_GT018,results,0,0,[],[],{},,{},9855,545,10400,0.001191
V0,full_pipeline,GT019,medium,Quais os cinco municípios com mais internações obstétricas registradas?,"SELECT mu.nome, COUNT(*) AS total_internacoes FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d WHERE i.""ESPEC"" = 2 GROUP BY mu.nome ORDER BY total_internacoes DESC LIMIT 5;","SELECT mu.nome, COUNT(*) AS total_internacoes FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d WHERE i.""ESPEC"" = 2 GROUP BY mu.nome ORDER BY total_internacoes DESC LIMIT 5;",True,11.45,,ablation_20260509T011519_9624afdc_V0_GT019,results,5,5,"[[""SÃ£o LuÃ­s"", 222673], [""Porto Alegre"", 166478], [""Imperatriz"", 60366], [""Pelotas"", 56523], [""Canoas"", 56065]]","[[""SÃ£o LuÃ­s"", 222673], [""Porto Alegre"", 166478], [""Imperatriz"", 60366], [""Pelotas"", 56523], [""Canoas"", 56065]]","{""gt_size"": 5, ""pred_size"": 5, ""normalized_match"": true}",,{},12372,481,12853,0.00176
V0,full_pipeline,GT021,hard,Quais são os 5 procedimentos mais realizados?,"SELECT p.""NOME_PROC"" AS procedimento, COUNT(*) AS total FROM atendimentos a JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 5;","SELECT p.""NOME_PROC"", COUNT(*) AS total FROM internacoes i JOIN atendimentos a ON i.""N_AIH"" = a.""N_AIH"" JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 5;",True,14.0,,ablation_20260509T011519_9624afdc_V0_GT021,results,5,5,"[[""PARTO NORMAL"", 3190054], [""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 2382792], [""PARTO CESARIANO"", 1803442], [""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 1601458], [""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 1052514]]","[[""PARTO NORMAL"", 3190054], [""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 2382792], [""PARTO CESARIANO"", 1803442], [""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 1601458], [""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 1052514]]","{""gt_size"": 5, ""pred_size"": 5, ""normalized_match"": true}",,{},15162,653,15815,0.002282
V0,full_pipeline,GT022,easy,Quantos hospitais registraram pelo menos uma morte?,"SELECT COUNT(DISTINCT ""CNES"") AS hospitais_com_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(DISTINCT i.""CNES"") AS total_hospitais FROM internacoes i WHERE i.""MORTE"" = true;",True,7.16,,ablation_20260509T011519_9624afdc_V0_GT022,results,1,1,[[610]],[[610]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13730,283,14013,0.001836
V0,full_pipeline,GT023,medium,Quantas internações de UTI resultaram em óbito?,"SELECT COUNT(*) AS uti_com_obito FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;",True,8.02,,ablation_20260509T011519_9624afdc_V0_GT023,results,1,1,[[265410]],[[265410]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12718,384,13102,0.00136
V0,full_pipeline,GT024,medium,Quais hospitais têm mais de 1000 internações registradas?,"SELECT h.""CNES"", COUNT(i.""N_AIH"") AS total_internacoes FROM hospital h JOIN internacoes i ON h.""CNES"" = i.""CNES"" GROUP BY h.""CNES"" HAVING COUNT(i.""N_AIH"") > 1000 ORDER BY total_internacoes DESC;","SELECT i.""CNES"", COUNT(*) AS total_internacoes FROM internacoes i GROUP BY i.""CNES"" HAVING COUNT(*) > 1000 ORDER BY total_internacoes DESC;",True,11.55,,ablation_20260509T011519_9624afdc_V0_GT024,results,615,615,"[[2237571, 584036], [2237601, 520527], [2237253, 364465], [2246988, 362948], [2693801, 230113]]","[[2237571, 584036], [2237601, 520527], [2237253, 364465], [2246988, 362948], [2693801, 230113]]","{""gt_size"": 615, ""pred_size"": 615, ""normalized_match"": true}",,{},14326,585,14911,0.002049
V0,full_pipeline,GT025,medium,Quantas internações com VDRL positivo resultaram em morte?,"SELECT COUNT(*) AS vdrl_positivo_obito FROM internacoes WHERE ""IND_VDRL"" = true AND ""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""IND_VDRL"" = true AND ""MORTE"" = true;",True,8.94,,ablation_20260509T011519_9624afdc_V0_GT025,results,1,1,[[819]],[[819]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12693,359,13052,0.001342
V0,full_pipeline,GT026,medium,Qual o valor médio das internações que resultaram em óbito?,"SELECT AVG(""VAL_TOT"") AS valor_medio_obitos FROM internacoes WHERE ""MORTE"" = true AND ""VAL_TOT"" IS NOT NULL;","SELECT ROUND(AVG(""VAL_TOT""), 2) AS valor_medio_internacoes FROM internacoes WHERE ""MORTE"" = true;",True,7.85,,ablation_20260509T011519_9624afdc_V0_GT026,results,1,1,[[9371.975095547688]],[[9371.98]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12389,386,12775,0.001322
V0,full_pipeline,GT027,medium,Quantas internações obstétricas foram registradas em UTI?,"SELECT COUNT(*) AS obstetricos_uti FROM internacoes WHERE ""ESPEC"" = 2 AND ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""ESPEC"" = 2 AND ""VAL_UTI"" > 0;",True,9.1,,ablation_20260509T011519_9624afdc_V0_GT027,results,1,1,[[4476]],[[4476]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12420,314,12734,0.001283
V0,full_pipeline,GT028,hard,Quais sao os 10 municípios com mais de 100 internações com a maior taxa de mortalidade?,"SELECT mu.nome AS municipio, COUNT(*) AS total_internacoes, SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d GROUP BY mu.nome HAVING COUNT(*) > 100 ORDER BY taxa_mortalidade DESC LIMIT 10;","WITH municipio_mortalidade AS ( SELECT mu.""nome"" AS municipio, COUNT(*) AS total_internacoes, SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.""codigo_6d"" GROUP BY mu.""nome"" HAVING COUNT(*) > 100 ) SELECT municipio, total_internacoes, total_mortes, taxa_mortalidade FROM municipio_mortalidade ORDER BY taxa_mortalidade DESC LIMIT 10;",True,18.92,,ablation_20260509T011519_9624afdc_V0_GT028,results,10,10,"[[""SÃ£o Bernardo do Campo"", 163, 16, 9.82], [""Rondon do ParÃ¡"", 847, 67, 7.91], [""Santo AntÃ´nio das MissÃµes"", 9197, 708, 7.7], [""Morro Redondo"", 5394, 401, 7.43], [""Pinheiro Machado"", 11204, 833, 7.43]]","[[""SÃ£o Bernardo do Campo"", 163, 16, 9.82], [""Rondon do ParÃ¡"", 847, 67, 7.91], [""Santo AntÃ´nio das MissÃµes"", 9197, 708, 7.7], [""Pinheiro Machado"", 11204, 833, 7.43], [""Morro Redondo"", 5394, 401, 7.43]]","{""gt_size"": 10, ""pred_size"": 10, ""normalized_match"": true}",,{},14290,1038,15328,0.002459
V0,full_pipeline,GT029,medium,Qual é o valor médio de UTI para homens?,"SELECT AVG(""VAL_UTI"") AS valor_medio_uti_homens FROM internacoes WHERE ""SEXO"" = 1 AND ""VAL_UTI"" > 0;","SELECT ROUND(AVG(""VAL_UTI""), 2) AS custo_medio_uti FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""SEXO"" = 1;",True,7.87,,ablation_20260509T011519_9624afdc_V0_GT029,results,1,1,[[8398.102412023572]],[[8398.1]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12443,378,12821,0.001325
V0,full_pipeline,GT030,easy,Quantas mulheres foram internadas?,"SELECT COUNT(*) AS total_mulheres FROM internacoes WHERE ""SEXO"" = 3;","SELECT COUNT(*) AS total FROM internacoes WHERE ""SEXO"" = 3;",True,6.82,,ablation_20260509T011519_9624afdc_V0_GT030,results,1,1,[[10759761]],[[10759761]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12618,298,12916,0.001303
V0,full_pipeline,GT031,easy,Qual a latitude e longitude de Porto Alegre?,"SELECT latitude, longitude FROM municipios WHERE nome = 'Porto Alegre';","SELECT ""latitude"", ""longitude"" FROM municipios WHERE ""nome"" = 'Porto Alegre';",True,8.13,,ablation_20260509T011519_9624afdc_V0_GT031,results,1,1,"[[-30.03179931640625, -51.20650100708008]]","[[-30.03179931640625, -51.20650100708008]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},9626,274,9900,0.001292
V0,full_pipeline,GT032,easy,Quantos municípios estão no estado do RS?,SELECT COUNT(*) AS municipios_rs FROM municipios WHERE estado = 'RS';,"SELECT COUNT(*) FROM municipios WHERE ""estado"" = 'RS';",True,5.99,,ablation_20260509T011519_9624afdc_V0_GT032,results,1,1,[[497]],[[497]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},8200,259,8459,0.001069
V0,full_pipeline,GT033,easy,Qual a idade média dos pacientes internados?,"SELECT AVG(""IDADE"") AS idade_media FROM internacoes WHERE ""IDADE"" IS NOT NULL;","SELECT AVG(""IDADE"") AS media_idade, COUNT(*) AS total_internacoes FROM internacoes;",True,7.77,,ablation_20260509T011519_9624afdc_V0_GT033,results,1,1,[[40.59221386184653]],"[[40.59221386184653, 18443084]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true, ""projected_match"": true, ""gt_col_count"": 1, ""pred_col_count"": 2, ""matching_column_indices"": [0]}",,{},12342,297,12639,0.001261
V0,full_pipeline,GT034,easy,Quantas internações duraram mais de 30 dias?,"SELECT COUNT(*) FROM internacoes WHERE ""DIAS_PERM"" > 30;","SELECT COUNT(*) AS total FROM internacoes WHERE ""DIAS_PERM"" > 30;",True,7.98,,ablation_20260509T011519_9624afdc_V0_GT034,results,1,1,[[309971]],[[309971]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12612,318,12930,0.001305
V0,full_pipeline,GT035,medium,Qual o diagnóstico mais comum nas internações?,"SELECT c.""CD_DESCRICAO"" AS diagnostico, COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" WHERE i.""DIAG_PRINC"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total DESC LIMIT 1;","SELECT c.""CD_DESCRICAO"" AS diagnostico, COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" WHERE i.""DIAG_PRINC"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total DESC LIMIT 1;",True,10.01,,ablation_20260509T011519_9624afdc_V0_GT035,results,1,1,"[[""Parto espontaneo cefalico"", 982066]]","[[""Parto espontaneo cefalico"", 982066]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13932,462,14394,0.001983
V0,full_pipeline,GT036,medium,Quantas internações ocorreram em 2015?,"SELECT COUNT(*) AS internacoes_2015 FROM internacoes WHERE EXTRACT(YEAR FROM ""DT_INTER"") = 2015;","SELECT COUNT(*) FROM internacoes WHERE EXTRACT(YEAR FROM ""DT_INTER"") = 2015;",True,6.99,,ablation_20260509T011519_9624afdc_V0_GT036,results,1,1,[[1179761]],[[1179761]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12644,289,12933,0.001292
V0,full_pipeline,GT037,medium,Quantos pacientes nasceram antes de 1950?,"SELECT COUNT(*) AS nascidos_antes_1950 FROM internacoes WHERE EXTRACT(YEAR FROM ""NASC"") < 1950;","SELECT COUNT(*) AS total FROM internacoes WHERE EXTRACT(YEAR FROM ""NASC"") < 1950;",True,6.49,,ablation_20260509T011519_9624afdc_V0_GT037,results,1,1,[[3591686]],[[3591686]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12391,273,12664,0.001254
V0,full_pipeline,GT038,medium,Qual município teve o maior número de internações masculinas em 2020?,"SELECT mu.nome, COUNT(i.""N_AIH"") AS total_internacoes FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d WHERE EXTRACT(YEAR FROM i.""DT_INTER"") = 2020 AND i.""SEXO"" = 1 GROUP BY mu.nome ORDER BY total_internacoes DESC LIMIT 1;","SELECT mu.""nome"" AS municipio, COUNT(*) AS total FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.""codigo_6d"" WHERE i.""SEXO"" = 1 AND EXTRACT(YEAR FROM i.""DT_INTER"") = 2020 GROUP BY mu.""nome"" ORDER BY total DESC LIMIT 1;",True,10.64,,ablation_20260509T011519_9624afdc_V0_GT038,results,1,1,"[[""Porto Alegre"", 37981]]","[[""Porto Alegre"", 37981]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12770,362,13132,0.001365
V0,full_pipeline,GT039,medium,Quais são as três causas de morte mais frequentes entre mulheres?,"SELECT c.""CD_DESCRICAO"", COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""SEXO"" = 3 AND i.""MORTE"" = true AND i.""CID_MORTE"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 3;","SELECT c.""CD_DESCRICAO"" AS causa_morte, COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND i.""SEXO"" = 3 AND i.""CID_MORTE"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 3;",True,10.92,,ablation_20260509T011519_9624afdc_V0_GT039,results,3,3,"[[""Nao preenchido"", 231490], [""Insuf respirat aguda"", 11488], [""Septicemia NE"", 8600]]","[[""Nao preenchido"", 231490], [""Insuf respirat aguda"", 11488], [""Septicemia NE"", 8600]]","{""gt_size"": 3, ""pred_size"": 3, ""normalized_match"": true}",,{},14034,589,14623,0.001527
V0,full_pipeline,GT040,easy,Qual a taxa de mortalidade infantil média no Brasil?,SELECT AVG(valor) AS taxa_media_mortalidade_infantil FROM socioeconomico WHERE metrica = 'mortalidade_infantil_1ano';,"SELECT AVG(""valor"") AS taxa_mortalidade_infantil_media FROM socioeconomico WHERE ""metrica"" = 'mortalidade_infantil_1ano';",True,13.05,,ablation_20260509T011519_9624afdc_V0_GT040,results,1,1,[[19.225648114901247]],[[19.225648114901247]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},8921,355,9276,0.001234
V0,full_pipeline,GT041,medium,Quantos hospitais atenderam casos de UTI em 2020?,"SELECT COUNT(DISTINCT ""CNES"") FROM internacoes WHERE ""VAL_UTI"" > 0 AND EXTRACT(YEAR FROM ""DT_INTER"") = 2020;","SELECT COUNT(DISTINCT i.""CNES"") AS total FROM internacoes i WHERE i.""VAL_UTI"" > 0 AND EXTRACT(YEAR FROM i.""DT_INTER"") = 2020;",True,28.97,,ablation_20260509T011519_9624afdc_V0_GT041,results,1,1,[[129]],[[129]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},14237,343,14580,0.001957
V0,full_pipeline,GT042,medium,Quantas internações de pacientes com mais de 70 anos ocorreram no inverno (junho a agosto)?,"SELECT COUNT(i.""N_AIH"") FROM internacoes i WHERE EXTRACT(MONTH FROM i.""DT_INTER"") BETWEEN 6 AND 8 AND i.""IDADE"" > 70;","SELECT COUNT(*) FROM internacoes WHERE ""IDADE"" > 70 AND EXTRACT(MONTH FROM ""DT_INTER"") IN (6, 7, 8);",True,13.39,,ablation_20260509T011519_9624afdc_V0_GT042,results,1,1,[[710226]],[[710226]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12679,386,13065,0.001356
V0,full_pipeline,GT043,medium,Quantas internações tiveram tanto diagnóstico principal quanto secundário?,"SELECT COUNT(*) AS com_ambos_diagnosticos FROM internacoes WHERE ""DIAG_PRINC"" IS NOT NULL AND ""DIAG_SECUN"" IS NOT NULL;","SELECT c.""CD_DESCRICAO"" AS diagnostico, COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" WHERE i.""DIAG_SECUN"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total DESC LIMIT 1;",False,11.73,,ablation_20260509T011519_9624afdc_V0_GT043,results,1,1,[[18443084]],"[[""Parto espontaneo cefalico"", 982066]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": false, ""missing_rows_count"": 1, ""extra_rows_count"": 1, ""missing_rows_sample"": [[18443084]], ""extra_rows_sample"": [[""parto espontaneo cefalico"", 982066]], ""overlap_ratio"": 0.0}",,{},12487,476,12963,0.001381
V0,full_pipeline,GT044,hard,Qual o custo médio de UTI por faixa etária dos pacientes?,"SELECT CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END AS faixa_etaria, AVG(""VAL_UTI"") AS custo_medio_uti FROM internacoes WHERE ""VAL_UTI"" > 0 GROUP BY CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END;","SELECT faixa_etaria, AVG(""VAL_UTI"") AS custo_medio_uti, COUNT(*) AS total FROM ( SELECT CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END AS faixa_etaria, ""VAL_UTI"", ROW_NUMBER() OVER (PARTITION BY CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END ORDER BY ""VAL_UTI"" DESC) AS rn FROM internacoes WHERE ""VAL_UTI"" > 0 ) sub GROUP BY faixa_etaria ORDER BY faixa_etaria;",True,15.57,,ablation_20260509T011519_9624afdc_V0_GT044,results,3,3,"[[""Adulto"", 7775.146116752521], [""Menor"", 10630.27878110413], [""Idoso"", 7641.032968260778]]","[[""Adulto"", 7775.146116753782, 365282], [""Idoso"", 7641.032968262552, 464056], [""Menor"", 10630.278781105359, 279778]]","{""gt_size"": 3, ""pred_size"": 3, ""normalized_match"": true, ""projected_match"": true, ""gt_col_count"": 2, ""pred_col_count"": 3, ""matching_column_indices"": [0, 1]}",,{},12965,779,13744,0.002028
