variant_id,variant_name,mode,description_variant,prompt_variant,n_queries,raw_acceptable_rate,validated_acceptable_rate,raw_exact_core_match_rate,validated_exact_core_match_rate,raw_avg_core_recall,validated_avg_core_recall,raw_avg_allowed_precision,validated_avg_allowed_precision,raw_forbidden_hit_rate,validated_forbidden_hit_rate,avg_selected_tables,stage_counts
TS11,llm_only::minimal::selection_protocol,llm_only,minimal,selection_protocol,40,0.725,0.75,0.7,0.65,0.9667,0.9667,0.8729,0.8771,0.05,0.025,2.08,"{""llm"": 40}"
TS00,llm_only::current::current,llm_only,current,current,40,0.675,0.725,0.625,0.6,0.9833,0.9833,0.8813,0.8979,0.05,0.0,1.95,"{""llm"": 40}"
TS13,llm_only::use_cases::compact,llm_only,use_cases,compact,40,0.65,0.725,0.6,0.6,0.9625,0.9625,0.8896,0.9271,0.1,0.0,1.82,"{""llm"": 40}"
TS05,llm_only::current::selection_protocol,llm_only,current,selection_protocol,40,0.7,0.725,0.675,0.625,0.9583,0.9583,0.8813,0.8938,0.05,0.025,1.9,"{""llm"": 40}"
TS29,llm_only::join_paths::selection_protocol,llm_only,join_paths,selection_protocol,40,0.675,0.7,0.65,0.6,0.9583,0.9583,0.8688,0.8604,0.05,0.025,2.1,"{""llm"": 40}"
TS14,llm_only::use_cases::minimal,llm_only,use_cases,minimal,40,0.6,0.675,0.55,0.55,0.9833,0.9833,0.8313,0.8562,0.05,0.0,2.1,"{""llm"": 40}"
TS07,llm_only::minimal::compact,llm_only,minimal,compact,40,0.55,0.675,0.5,0.55,0.975,0.975,0.8104,0.8683,0.125,0.0,2.08,"{""fallback_after_llm"": 1, ""llm"": 39}"
TS04,llm_only::current::decision_checklist,llm_only,current,decision_checklist,40,0.625,0.675,0.6,0.575,0.9625,0.9625,0.8854,0.9063,0.05,0.0,1.88,"{""llm"": 40}"
TS01,llm_only::current::compact,llm_only,current,compact,40,0.5,0.6,0.475,0.5,0.975,0.975,0.7979,0.8521,0.15,0.0,2.05,"{""llm"": 40}"
TS02,llm_only::current::minimal,llm_only,current,minimal,40,0.525,0.6,0.475,0.5,0.975,0.975,0.8125,0.8458,0.075,0.0,2.08,"{""llm"": 40}"
TS25,llm_only::join_paths::compact,llm_only,join_paths,compact,40,0.5,0.6,0.475,0.5,0.9625,0.9625,0.7771,0.8246,0.125,0.0,2.23,"{""fallback_after_llm"": 1, ""llm"": 39}"
TS08,llm_only::minimal::minimal,llm_only,minimal,minimal,40,0.55,0.6,0.5,0.475,0.9583,0.9583,0.8063,0.8187,0.05,0.025,2.1,"{""llm"": 40}"
TS26,llm_only::join_paths::minimal,llm_only,join_paths,minimal,40,0.475,0.55,0.45,0.45,0.9625,0.9625,0.7667,0.7883,0.1,0.0,2.3,"{""llm"": 40}"
