variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT033,easy,Qual a idade média dos pacientes internados?,"SELECT AVG(""IDADE"") AS idade_media FROM internacoes WHERE ""IDADE"" IS NOT NULL;","SELECT AVG(""IDADE"") AS idade_media FROM internacoes;",True,9.73,,ablation_20260506T022948_c4872fb0_V0_GT033,results,1,1,[[40.59221386184653]],[[40.59221386184653]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12249,249,12498,0.001219
V0,full_pipeline,GT035,medium,Qual o diagnóstico mais comum nas internações?,"SELECT c.""CD_DESCRICAO"" AS diagnostico, COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" WHERE i.""DIAG_PRINC"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total DESC LIMIT 1;","SELECT c.""CD_DESCRICAO"" AS diagnostico, COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" WHERE i.""DIAG_PRINC"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total DESC LIMIT 1;",True,12.28,,ablation_20260506T022948_c4872fb0_V0_GT035,results,1,1,"[[""Parto espontaneo cefalico"", 982066]]","[[""Parto espontaneo cefalico"", 982066]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_E,{},13934,484,14418,0.001613
V0,full_pipeline,GT036,medium,Quantas internações ocorreram em 2015?,"SELECT COUNT(*) AS internacoes_2015 FROM internacoes WHERE EXTRACT(YEAR FROM ""DT_INTER"") = 2015;","SELECT COUNT(*) FROM internacoes WHERE EXTRACT(YEAR FROM ""DT_INTER"") = 2015;",True,8.95,,ablation_20260506T022948_c4872fb0_V0_GT036,results,1,1,[[1179761]],[[1179761]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_G,{},12644,278,12922,0.001286
V0,full_pipeline,GT037,medium,Quantos pacientes nasceram antes de 1950?,"SELECT COUNT(*) AS nascidos_antes_1950 FROM internacoes WHERE EXTRACT(YEAR FROM ""NASC"") < 1950;","SELECT COUNT(*) AS total FROM internacoes WHERE EXTRACT(YEAR FROM ""NASC"") < 1950;",True,7.25,,ablation_20260506T022948_c4872fb0_V0_GT037,results,1,1,[[3591686]],[[3591686]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_H,{},12391,272,12663,0.001254
V0,full_pipeline,GT039,medium,Quais são as três causas de morte mais frequentes entre mulheres?,"SELECT c.""CD_DESCRICAO"", COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""SEXO"" = 3 AND i.""MORTE"" = true AND i.""CID_MORTE"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 3;","SELECT c.""CD_DESCRICAO"" AS causa_morte, COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND i.""SEXO"" = 3 AND i.""CID_MORTE"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 3;",True,11.0,,ablation_20260506T022948_c4872fb0_V0_GT039,results,3,3,"[[""Nao preenchido"", 231490], [""Insuf respirat aguda"", 11488], [""Septicemia NE"", 8600]]","[[""Nao preenchido"", 231490], [""Insuf respirat aguda"", 11488], [""Septicemia NE"", 8600]]","{""gt_size"": 3, ""pred_size"": 3, ""normalized_match"": true}",RULE_B,{},14034,599,14633,0.00161
V0,full_pipeline,GT044,hard,Qual o custo médio de UTI por faixa etária dos pacientes?,"SELECT CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END AS faixa_etaria, AVG(""VAL_UTI"") AS custo_medio_uti FROM internacoes WHERE ""VAL_UTI"" > 0 GROUP BY CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END;","SELECT faixa_etaria, AVG(""VAL_UTI"") AS custo_medio_uti FROM ( SELECT CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END AS faixa_etaria, ""VAL_UTI"", ROW_NUMBER() OVER (PARTITION BY CASE WHEN ""IDADE"" < 18 THEN 'Menor' WHEN ""IDADE"" < 60 THEN 'Adulto' ELSE 'Idoso' END ORDER BY ""VAL_UTI"" DESC) AS rn FROM internacoes WHERE ""VAL_UTI"" > 0 ) sub WHERE rn = 1 GROUP BY faixa_etaria;",True,13.02,,ablation_20260506T022948_c4872fb0_V0_GT044,results,3,3,"[[""Adulto"", 7775.146116752351], [""Menor"", 10630.278781103916], [""Idoso"", 7641.032968260613]]","[[""Menor"", 242232.4], [""Idoso"", 336000.0], [""Adulto"", 416000.0]]","{""gt_size"": 3, ""pred_size"": 3, ""normalized_match"": true, ""projected_match"": true, ""bidirectional_match"": true, ""gt_col_count"": 2, ""pred_col_count"": 2, ""matching_column_indices"": {""gt_cols"": [0], ""pred_cols"": [0]}}",RULE_J,{},12879,688,13567,0.001961
V0,full_pipeline,GT046,medium,Qual a evolução de internações para cada ano?,"SELECT EXTRACT(YEAR FROM ""DT_INTER"") AS ano, COUNT(*) AS total_internacoes FROM internacoes WHERE ""DT_INTER"" IS NOT NULL GROUP BY ano ORDER BY ano;","SELECT EXTRACT(YEAR FROM ""DT_INTER"") AS ano, COUNT(*) AS total_internacoes FROM internacoes GROUP BY EXTRACT(YEAR FROM ""DT_INTER"") ORDER BY ano;",True,11.47,,ablation_20260506T022948_c4872fb0_V0_GT046,results,16,16,"[[2008, 1044837], [2009, 1091494], [2010, 1117637], [2011, 1113593], [2012, 1110649]]","[[2008, 1044837], [2009, 1091494], [2010, 1117637], [2011, 1113593], [2012, 1110649]]","{""gt_size"": 16, ""pred_size"": 16, ""normalized_match"": true}",RULE_G,{},12698,568,13266,0.001477
V0,full_pipeline,GT048,medium,Quais são as 10 principais causas de morte (com descrição)?,"SELECT c.""CD_DESCRICAO"", COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 10;","SELECT c.""CD_DESCRICAO"" AS causa_morte, COUNT(*) AS total_mortes FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND i.""CID_MORTE"" IS NOT NULL GROUP BY c.""CD_DESCRICAO"" ORDER BY total_mortes DESC LIMIT 10;",True,11.99,,ablation_20260506T022948_c4872fb0_V0_GT048,results,10,10,"[[""Nao preenchido"", 488330], [""Insuf respirat aguda"", 24784], [""Septicemia NE"", 17904], [""Parada cardiaca NE"", 14187], [""Acid vasc cerebr NE como hemorrag isquemico"", 9539]]","[[""Nao preenchido"", 488330], [""Insuf respirat aguda"", 24784], [""Septicemia NE"", 17904], [""Parada cardiaca NE"", 14187], [""Acid vasc cerebr NE como hemorrag isquemico"", 9539]]","{""gt_size"": 10, ""pred_size"": 10, ""normalized_match"": true}",RULE_E,{},14098,588,14686,0.001536
V0,full_pipeline,GT050,medium,Qual a taxa de mortalidade para faixa etária 30-45?,"SELECT '30-45 anos' AS faixa_etaria, COUNT(*) AS total_internacoes, SUM(CASE WHEN ""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN ""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes WHERE ""IDADE"" BETWEEN 30 AND 45;","SELECT ROUND(SUM(CASE WHEN ""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes WHERE ""IDADE"" BETWEEN 30 AND 45;",True,8.68,,ablation_20260506T022948_c4872fb0_V0_GT050,results,1,1,"[[""30-45 anos"", 3451467, 56476, 1.64]]",[[1.64]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true, ""projected_match"": true, ""reverse_projected_match"": true, ""gt_col_count"": 4, ""pred_col_count"": 1, ""matching_column_indices"": [3]}",RULE_H,{},12561,408,12969,0.001351
V0,full_pipeline,GT053,easy,Qual o valor total gasto em internações?,"SELECT ROUND(SUM(""VAL_TOT""), 0) AS total_gasto FROM internacoes;","SELECT SUM(""VAL_TOT"") AS total_gasto FROM internacoes;",True,8.9,,ablation_20260506T022948_c4872fb0_V0_GT053,results,1,1,[[52749713977.0]],[[52749713976.827545]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12294,319,12613,0.001267
V0,full_pipeline,GT065,medium,Qual o nível de instrução dos pacientes internados?,"  SELECT ins.""DESCRICAO"", COUNT(*) AS total FROM internacoes i JOIN instrucao ins ON i.""INSTRU"" = ins.""INSTRU"" WHERE i.""INSTRU"" IS NOT NULL AND i.""INSTRU"" != 0 GROUP BY ins.""INSTRU"", ins.""DESCRICAO"" ORDER BY total DESC;
","SELECT ins.""DESCRICAO"", COUNT(*) AS total FROM internacoes i JOIN instrucao ins ON i.""INSTRU"" = ins.""INSTRU"" WHERE i.""INSTRU"" IS NOT NULL AND i.""INSTRU"" != 0 GROUP BY ins.""DESCRICAO"" ORDER BY total DESC;",True,10.28,,ablation_20260506T022948_c4872fb0_V0_GT065,results,5,5,"[[""ALFABETIZADO"", 54875], [""1 GRAU INCOMPLETO"", 40906], [""1 GRAU COMPLETO"", 4216], [""NAO SABE LER/ESCREVER"", 3553], [""2 GRAU COMPLETO"", 3]]","[[""ALFABETIZADO"", 54875], [""1 GRAU INCOMPLETO"", 40906], [""1 GRAU COMPLETO"", 4216], [""NAO SABE LER/ESCREVER"", 3553], [""2 GRAU COMPLETO"", 3]]","{""gt_size"": 5, ""pred_size"": 5, ""normalized_match"": true}",RULE_O,{},13575,501,14076,0.001569
V0,full_pipeline,GT067,medium,Qual a quantidade de internações por especialidade?,"SELECT e.""DESCRICAO"" AS especialidade, COUNT(*) AS total_consultas FROM internacoes i JOIN especialidade e ON i.""ESPEC"" = e.""ESPEC"" GROUP BY e.""DESCRICAO"" ORDER BY total_consultas DESC;","SELECT e.""DESCRICAO"" AS especialidade, COUNT(*) AS total_internacoes FROM internacoes i JOIN especialidade e ON i.""ESPEC"" = e.""ESPEC"" GROUP BY e.""DESCRICAO"";",True,13.15,,ablation_20260506T022948_c4872fb0_V0_GT067,results,14,14,"[[""CLINICOS"", 7397419], [""CIRURGICO"", 5565170], [""OBSTETRICOS"", 2879421], [""PEDIATRICOS"", 1882716], [""PSIQUIATRIA"", 468650]]","[[""LEITO DIA - INTERCORRENCIA POS-TRANSPLANTE"", 4226], [""OBSTETRICOS"", 2879421], [""CLINICOS"", 7397419], [""SAUDE MENTAL (CLINICOS)"", 57587], [""PEDIATRICOS"", 1882716]]","{""gt_size"": 14, ""pred_size"": 14, ""normalized_match"": true}",,{},14010,572,14582,0.002061
V0,full_pipeline,GT068,medium,Quais são os 10 procedimentos mais comuns?,"SELECT p.""NOME_PROC"", COUNT(a.""id_atendimento"") AS total_atendimentos FROM atendimentos a JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total_atendimentos DESC LIMIT 10;","SELECT p.""NOME_PROC"", COUNT(*) AS total FROM internacoes i JOIN atendimentos a ON i.""N_AIH"" = a.""N_AIH"" JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 10;",True,13.56,,ablation_20260506T022948_c4872fb0_V0_GT068,results,10,10,"[[""PARTO NORMAL"", 3190054], [""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 2382792], [""PARTO CESARIANO"", 1803442], [""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 1601458], [""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 1052514]]","[[""PARTO NORMAL"", 3190054], [""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 2382792], [""PARTO CESARIANO"", 1803442], [""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 1601458], [""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 1052514]]","{""gt_size"": 10, ""pred_size"": 10, ""normalized_match"": true}",,{},15287,736,16023,0.001803
V0,full_pipeline,GT071,medium,Qual é a raça que apresenta maior número de mortes registradas?,"SELECT r.""DESCRICAO"" AS descricao_raca_cor, COUNT(i.""N_AIH"") AS total_mortes FROM internacoes i JOIN raca_cor r ON i.""RACA_COR"" = r.""RACA_COR"" WHERE i.""MORTE"" = true GROUP BY r.""DESCRICAO"" ORDER BY total_mortes DESC LIMIT 1;","SELECT r.""DESCRICAO"" AS raca, COUNT(*) AS total_mortes FROM internacoes i JOIN raca_cor r ON i.""RACA_COR"" = r.""RACA_COR"" WHERE i.""MORTE"" = true GROUP BY r.""DESCRICAO"" ORDER BY total_mortes DESC LIMIT 1;",True,9.71,,ablation_20260506T022948_c4872fb0_V0_GT071,results,1,1,"[[""BRANCA"", 457750]]","[[""BRANCA"", 457750]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_O,{},13902,451,14353,0.001588
V0,full_pipeline,GT076,hard,Quais são os 10 municípios que atendem mais pacientes?,"SELECT m.nome AS municipio, COUNT(i.""N_AIH"") AS total_internacoes FROM internacoes i JOIN hospital h ON i.""CNES"" = h.""CNES"" JOIN municipios m ON h.""MUNIC_MOV"" = m.codigo_6d GROUP BY m.nome ORDER BY total_internacoes DESC LIMIT 10;","SELECT mu.""NOME"", COUNT(i.""N_AIH"") AS total_pacientes FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.""CODIGO_6D"" GROUP BY mu.""NOME"" ORDER BY total_pacientes DESC LIMIT 10;",False,14.12,,ablation_20260506T022948_c4872fb0_V0_GT076,results,10,10,"[[""Porto Alegre"", 2748298], [""SÃ£o LuÃ­s"", 1486497], [""Passo Fundo"", 559039], [""Canoas"", 463112], [""Imperatriz"", 412321]]","[[""Porto Alegre"", 1569537], [""SÃ£o LuÃ­s"", 891253], [""Canoas"", 422780], [""Caxias do Sul"", 324575], [""Pelotas"", 304288]]","{""gt_size"": 10, ""pred_size"": 10, ""normalized_match"": false, ""missing_rows_count"": 10, ""extra_rows_count"": 10, ""missing_rows_sample"": [[""porto alegre"", 2748298], [""sã£o luã­s"", 1486497], [""passo fundo"", 559039], [""canoas"", 463112], [""imperatriz"", 412321]], ""extra_rows_sample"": [[""porto alegre"", 1569537], [""sã£o luã­s"", 891253], [""canoas"", 422780], [""caxias do sul"", 324575], [""pelotas"", 304288]], ""overlap_ratio"": 0.0}",RULE_M,{},15146,710,15856,0.002304
V0,full_pipeline,GT078,hard,"Quais são os 10 principais motivos de internação para pacientes com menos de 18 anos, entre 18 e 64 anos, e acima de 64 anos?","SELECT faixa_etaria, ""CD_DESCRICAO"", total_internacoes FROM (SELECT CASE WHEN i.""IDADE"" < 18 THEN 'Menor de 18' WHEN i.""IDADE"" BETWEEN 18 AND 64 THEN '18 a 64' ELSE '65 ou mais' END AS faixa_etaria, c.""CD_DESCRICAO"", COUNT(*) AS total_internacoes, ROW_NUMBER() OVER (PARTITION BY CASE WHEN i.""IDADE"" < 18 THEN 'Menor de 18' WHEN i.""IDADE"" BETWEEN 18 AND 64 THEN '18 a 64' ELSE '65 ou mais' END ORDER BY COUNT(*) DESC) AS rn FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" GROUP BY faixa_etaria, c.""CD_DESCRICAO"") subquery WHERE rn <= 10 ORDER BY faixa_etaria, rn;","SELECT faixa_etaria, motivo_internacao, cnt FROM ( SELECT CASE WHEN i.""IDADE"" < 18 THEN 'Menor de 18' WHEN i.""IDADE"" BETWEEN 18 AND 64 THEN '18 a 64' ELSE '65 ou mais' END AS faixa_etaria, c.""CD_DESCRICAO"" AS motivo_internacao, COUNT(*) AS cnt, ROW_NUMBER() OVER (PARTITION BY CASE WHEN i.""IDADE"" < 18 THEN 'Menor de 18' WHEN i.""IDADE"" BETWEEN 18 AND 64 THEN '18 a 64' ELSE '65 ou mais' END ORDER BY COUNT(*) DESC) AS rn FROM internacoes i JOIN cid c ON i.""DIAG_PRINC"" = c.""CID"" GROUP BY faixa_etaria, c.""CD_DESCRICAO"" ) sub WHERE rn <= 10 ORDER BY faixa_etaria, rn;",True,25.66,,ablation_20260506T022948_c4872fb0_V0_GT078,results,30,30,"[[""18 a 64"", ""Parto espontaneo cefalico"", 861909], [""18 a 64"", ""Parto unico espontaneo NE"", 406781], [""18 a 64"", ""Parto p/cesariana NE"", 180130], [""18 a 64"", ""Sindr de dependencia"", 165238], [""18 a 64"", ""Outr tipos de parto unico espontaneo"", 150109]]","[[""18 a 64"", ""Parto espontaneo cefalico"", 861909], [""18 a 64"", ""Parto unico espontaneo NE"", 406781], [""18 a 64"", ""Parto p/cesariana NE"", 180130], [""18 a 64"", ""Sindr de dependencia"", 165238], [""18 a 64"", ""Outr tipos de parto unico espontaneo"", 150109]]","{""gt_size"": 30, ""pred_size"": 30, ""normalized_match"": true}",,{},15138,1248,16386,0.002626
V0,full_pipeline,GT081,hard,Quais são os 5 procedimentos mais realizados para cada sexo?,"SELECT faixa_sexo, ""NOME_PROC"", total FROM (SELECT CASE WHEN i.""SEXO"" = 1 THEN 'Masculino' ELSE 'Feminino' END AS faixa_sexo, p.""NOME_PROC"", COUNT(*) AS total, ROW_NUMBER() OVER (PARTITION BY i.""SEXO"" ORDER BY COUNT(*) DESC) AS rn FROM atendimentos a JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" JOIN internacoes i ON a.""N_AIH"" = i.""N_AIH"" GROUP BY i.""SEXO"", p.""NOME_PROC"") sub WHERE rn <= 5 ORDER BY faixa_sexo, rn;","SELECT sexo, procedimento, total FROM ( SELECT i.""SEXO"", p.""NOME_PROC"" AS procedimento, COUNT(*) AS total, ROW_NUMBER() OVER (PARTITION BY i.""SEXO"" ORDER BY COUNT(*) DESC) AS rn FROM internacoes i JOIN atendimentos a ON i.""N_AIH"" = a.""N_AIH"" JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY i.""SEXO"", p.""NOME_PROC"" ) sub WHERE rn <= 5 ORDER BY sexo, total DESC;",True,18.8,,ablation_20260506T022948_c4872fb0_V0_GT081,results,10,10,"[[""Feminino"", ""PARTO NORMAL"", 3190040], [""Feminino"", ""PARTO CESARIANO"", 1803418], [""Feminino"", ""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 1153766], [""Feminino"", ""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 863672], [""Feminino"", ""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 509058]]","[[1, ""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 1229026], [1, ""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 737786], [1, ""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 543456], [1, ""TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS"", 434084], [1, ""TRATAMENTO DE INSUFICIENCIA CARDIACA"", 353424]]","{""gt_size"": 10, ""pred_size"": 10, ""normalized_match"": true, ""projected_match"": true, ""bidirectional_match"": true, ""gt_col_count"": 3, ""pred_col_count"": 3, ""matching_column_indices"": {""gt_cols"": [1, 2], ""pred_cols"": [1, 2]}}",RULE_J,{},15062,814,15876,0.002354
